clubId,name,badmintonPlayerId,initialized,status,teamCount,error
"1372","6. kr. Ny Vest","1372","true","ok","2",""
"2020","Aabenraa","2020","true","ok","18",""
"7487","Aarhus Efterskole","7487","false","ok","0",""
"1578","Aars","1578","true","ok","4",""
"1415","Aarup Badmintonklub","1415","false","ok","3",""
"1384","Aakirkeby","1384","false","ok","5",""
"1491","abc Aalborg","1491","true","ok","39",""
"1883","Aadum I & U","1883","false","ok","0",""
"1576","Aalborg Student","1576","false","ok","1",""
"2871","Aale UI","2871","false","ok","0",""
"1575","Aabybro","1575","false","ok","6",""
"1492","Aalborg Triton","1492","true","ok","59",""
"1617","Aarhus AB","1617","true","ok","47",""
"7288","AC Norddjurs","7288","false","ok","0",""
"7955","Aasiaat Badmintonklub","7955","false","ok","0",""
"1911","Alheden","1911","false","ok","0",""
"1197","Ålholm","1197","false","ok","2",""
"1550","Ålborg Semin.","1550","false","ok","0",""
"1397","Allesø","1397","false","ok","1",""
"1279","Agersø","1279","false","ok","0",""
"1933","Agerbæk SF","1933","false","ok","0",""
"2044","Agerskov UF","2044","false","ok","0",""
"1577","Ålbæk","0","false","ok","0",""
"461","Albertslund","461","false","ok","4",""
"7505","Algeriet","7505","false","ok","0",""
"1274","Alsted-Fjenneslev G & I","1274","false","ok","0",""
"1086","Amager ABC","1086","false","ok","0",""
"1336","Allindelille IF","1336","false","ok","0",""
"1756","Allingåbro","1756","false","ok","0",""
"1201","Alsønderup","1201","false","ok","0",""
"1937","Alslev SK","1937","false","ok","0",""
"7501","Almind/Birgittelyst Idrætsforening","7501","false","ok","0",""
"1373","Allinge-S.G. Badminton","1373","false","ok","5",""
"1929","Andrup","1929","false","ok","1",""
"1720","Ammitsbøl","1720","false","ok","1",""
"1719","Alminde Viuf","1719","true","ok","4",""
"1942","Andst","1942","false","ok","5",""
"1271","Annisse","1271","false","ok","0",""
"1325","Antvorskov Badmintonklub","1325","false","ok","0",""
"1940","Ansager Idrætsforening (AIF)","1940","false","ok","0",""
"1851","Ans","1851","false","ok","0",""
"1385","Årsballe","1385","false","ok","0",""
"1262","Årby","1262","false","ok","0",""
"3471","Årslev","3471","false","ok","0",""
"1107","Argo Kbh.","1107","false","ok","0",""
"1964","Arnborg","1964","false","ok","0",""
"1632","Århus Akademisk","1632","true","ok","3",""
"1608","Asaa","1608","false","ok","0",""
"1501","Asdal","1501","false","ok","1",""
"1975","Asmild","1975","false","ok","0",""
"2054","Arnum","2054","false","ok","0",""
"2942","Aros BK","0","false","ok","0",""
"2934","Arrild IF","2934","false","ok","0",""
"1171","Asnæs","1171","false","ok","4",""
"1436","Assens","1436","false","ok","0",""
"7370","Åstrup IF","7370","false","ok","0",""
"1583","Assens IF","1583","false","ok","0",""
"1502","Astrup-Sønderskov","1502","false","ok","0",""
"1850","Aulum Gymnastikforening","1850","false","ok","6",""
"7356","ATP Sportsforening","7356","false","ok","0",""
"2021","Augustenborg","2021","false","ok","3",""
"7579","Aulby Kultur og Idrætsforening","7579","false","ok","0",""
"1688","Auning","1688","false","ok","5",""
"1398","Aunslev","1398","false","ok","2",""
"2138","Australien","2138","false","ok","0",""
"1474","Ærøskøbing","1474","false","ok","0",""
"2097","BADBORN","2097","false","ok","0",""
"2100","BADKBH","2100","false","ok","3",""
"2101","BADLF","2101","false","ok","0",""
"2098","BADFYN","2098","false","ok","3",""
"978","BADDAN","978","false","ok","0",""
"5876","Badminton Danmark Elite","5876","false","ok","0",""
"2104","BADMIDJ","2104","false","ok","3",""
"2096","BADNDRJ","2096","false","ok","3",""
"7062","Badminton Roskilde","7062","true","ok","45",""
"16","Badminton Esbjerg","16","true","ok","43",""
